	(	)	*	+	-	/	;	=	cmp	else	for	id	if	main	num	rel	return	type	void	while	{	}	#	
0																			S2					
1																							A	
2														S3										
3	S4																							
4		S5																						
5																					S6			
6																		S9						
7																	S10							
8											S18	S19	S15					S12		S16	S17			
9												S20												
10							S21																	
11																	r2							
12												S22												
13																	r5							
14																	r10							
15	S23																							
16	S24																							
17											S31	S32	S27							S28	S29	r17		
18	S34																							
19								S35																
20							S36																	
21																						S37		
22							S38																	
23												S41												
24												S41												
25							r5															r5		
26							r10															r10		
27	S43																							
28	S44																							
29											S31	S32	S27							S28	S29	r17		
30																						S46		
31	S47																							
32								S48																
33							S49															r16		
34												S51												
35	S55											S56			S57									
36											r4	r4	r4					r4		r4	r4			
37																							r1	
38											r3	r3	r3					r3		r3	r3			
39		S58														S59								
40		r19														r19								
41		r22							S60							r22								
42		S61														S59								
43												S41												
44												S41												
45																						S64		
46																	r6							
47												S51												
48	S69											S70			S71									
49											S31	S32	S27							S28	S29	r17		
50							S73																	
51								S74																
52				S75	S76												r14							
53			S77	r23	r23	S78											r23							
54			r26	r26	r26	r26											r26							
55	S82											S83			S84									
56			r30	r30	r30	r30											r30							
57			r29	r29	r29	r29											r29							
58																					S85			
59												S41												
60												S87			S88									
61																					S89			
62		S90														S59								
63		S91														S59								
64							r6															r6		
65							S92																	
66				S93	S94		r14															r14		
67			S95	r23	r23	S96	r23															r23		
68			r26	r26	r26	r26	r26															r26		
69	S82											S83			S84									
70			r30	r30	r30	r30	r30															r30		
71			r29	r29	r29	r29	r29															r29		
72																						r15		
73												S100												
74	S104											S105			S106									
75	S55											S56			S57									
76	S55											S56			S57									
77	S55											S56			S57									
78	S55											S56			S57									
79		S113		S111	S112																			
80		r23	S114	r23	r23	S115																		
81		r26	r26	r26	r26	r26																		
82	S82											S83			S84									
83		r30	r30	r30	r30	r30																		
84		r29	r29	r29	r29	r29																		
85											S31	S32	S27							S28	S29	r17		
86		r18														r18								
87		r20														r20								
88		r21														r21								
89											S31	S32	S27							S28	S29	r17		
90																					S119			
91																					S120			
92												S100												
93	S69											S70			S71									
94	S69											S70			S71									
95	S69											S70			S71									
96	S69											S70			S71									
97		S126		S111	S112																			
98							S127									S128								
99							r19									r19								
100							r22		S129							r22								
101				S130	S131		r14																	
102			S132	r23	r23	S133	r23																	
103			r26	r26	r26	r26	r26																	
104	S82											S83			S84									
105			r30	r30	r30	r30	r30																	
106			r29	r29	r29	r29	r29																	
107			S77	r24	r24	S78											r24							
108			S77	r25	r25	S78											r25							
109			r27	r27	r27	r27											r27							
110			r28	r28	r28	r28											r28							
111	S82											S83			S84									
112	S82											S83			S84									
113			r31	r31	r31	r31											r31							
114	S82											S83			S84									
115	S82											S83			S84									
116		S139		S111	S112																			
117																						S140		
118																						S141		
119											S31	S32	S27							S28	S29	r17		
120											S31	S32	S27							S28	S29	r17		
121							S144									S128								
122			S95	r24	r24	S96	r24															r24		
123			S95	r25	r25	S96	r25															r25		
124			r27	r27	r27	r27	r27															r27		
125			r28	r28	r28	r28	r28															r28		
126			r31	r31	r31	r31	r31															r31		
127												S147												
128												S100												
129												S149			S150									
130	S104											S105			S106									
131	S104											S105			S106									
132	S104											S105			S106									
133	S104											S105			S106									
134		S155		S111	S112																			
135		r24	S114	r24	r24	S115																		
136		r25	S114	r25	r25	S115																		
137		r27	r27	r27	r27	r27																		
138		r28	r28	r28	r28	r28																		
139		r31	r31	r31	r31	r31																		
140										S156							r8							
141																	r9							
142																						S157		
143																						S158		
144												S147												
145											S31	S32	S27							S28	S29	r17		
146		S162																						
147								S163																
148							r18									r18								
149							r20									r20								
150							r21									r21								
151			S132	r24	r24	S133	r24																	
152			S132	r25	r25	S133	r25																	
153			r27	r27	r27	r27	r27																	
154			r28	r28	r28	r28	r28																	
155			r31	r31	r31	r31	r31																	
156																					S164			
157							r8			S165												r8		
158							r9															r9		
159											S31	S32	S27							S28	S29	r17		
160																	r11							
161																						S168		
162																					S169			
163	S82											S83			S84									
164											S31	S32	S27							S28	S29	r17		
165																					S172			
166							r11															r11		
167																						S173		
168																	r13							
169											r12	r12	r12							r12	r12	r12		
170		r14		S111	S112																			
171																						S174		
172											S31	S32	S27							S28	S29	r17		
173							r13															r13		
174																	r7							
175																						S176		
176							r7															r7		
